URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Riviera-1680.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Speciale-2011-12532.html - Missing: notes_top, notes_middle, notes_base, price_value, smells_like
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Designer-Edition-13806.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Edizione-Centenario-42460.html - Missing: notes_top, notes_middle, notes_base, price_value, smells_like
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Pura-45876.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Gelsomino-Nobile-12921.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-1564.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-Edizione-Speciale-2008-5068.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Magnolia-Nobile-6483.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Magnolia-Nobile-Special-Edition-10204.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-1683.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-2008-5069.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Buongiorno-103426.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Artist-Edition-by-Clym-Evernden-52150.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Assoluta-Edizione-Speciale-2013-19636.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Assoluta-In-Villa-5859.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Club-31424.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Essenza-Special-Edition-2015-31663.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Futura-62332.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Il-Profumo-100793.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-1684.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Essenza-di-Colonia-9829.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Gelsomino-Nobile-Edizione-Speciale-23906.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-10th-Anniversary-Special-Edition-25511.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-Edizione-Speziale-8383.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-Sublime-15724.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Magnolia-Nobile-Special-Edition-14629.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Magnolia-Nobile-Special-Edition-2016-35351.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Peonia-Nobile-40154.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Peonia-Nobile-Edizione-Speciale-43256.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Profumo-Eau-de-Parfum-6909.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Rosa-Nobile-26577.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Rosa-Nobile-Edizione-Speciale-34647.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Gelsomino-17384.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Iris-17487.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Magnolia-17486.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Rosa-29971.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html - Missing: notes_top, notes_middle, notes_base, price_value
